Order_ID,Order_Date,Customer_ID,Customer_Name,Region,State,City,Category,Sub_Category,Product,Quantity,Unit_Price,Discount,Sales,Profit,Payment_Mode
ORD10030,2025-02-18,CUST1190,Customer 1190,South,Tamil Nadu,Chennai,Electronics,Mobiles,Nova X5,1,28624.4,0.1,25761.96,3661.0,Net Banking
ORD10031,2025-02-28,CUST1096,Customer 1096,East,Jharkhand,Jamshedpur,Furniture,Storage,Filing Cabinet,2,6623.74,0.1,11922.74,503.45,Net Banking
ORD10032,2025-06-19,CUST1128,Customer 1128,West,Maharashtra,Kolhapur,Appliances,Kitchen,Mixer Grinder,1,4473.41,0.0,4473.41,710.64,Credit Card
ORD10033,2025-07-07,CUST1026,Customer 1026,North,Uttar Pradesh,Noida,Office Supplies,Paper,A4 Paper Box,5,527.27,0.15,2240.89,361.23,Cash
ORD10034,2025-09-28,CUST1066,Customer 1066,East,Odisha,Bhubaneswar,Electronics,Mobiles,Nova X5,4,26142.6,0.0,104570.41,21631.34,Debit Card
ORD10035,2025-07-09,CUST1140,Customer 1140,West,Goa,Panaji,Office Supplies,Binders,Document Binder,2,257.91,0.15,438.45,39.32,UPI
ORD10036,2025-06-24,CUST1022,Customer 1022,West,Gujarat,Surat,Electronics,Accessories,Wireless Mouse,4,1249.22,0.05,4747.04,94.94,Cash
ORD10037,2025-02-20,CUST1017,Customer 1017,North,Uttar Pradesh,Noida,Electronics,Mobiles,Nova X5,2,29317.72,0.0,58635.45,2010.06,Debit Card
ORD10038,2025-12-30,CUST1007,Customer 1007,North,Punjab,Amritsar,Furniture,Tables,Office Table,4,12489.19,0.0,49956.78,2456.31,UPI
ORD10039,2025-02-24,CUST1107,Customer 1107,West,Goa,Panaji,Office Supplies,Stationery,Premium Notebook,3,372.11,0.2,893.05,30.6,UPI
ORD10040,2025-09-01,CUST1068,Customer 1068,West,Goa,Margao,Office Supplies,Paper,A4 Paper Box,2,500.67,0.0,1001.34,133.78,Cash
ORD10041,2025-11-16,CUST1128,Customer 1128,West,Goa,Panaji,Electronics,Accessories,Wireless Mouse,7,1182.83,0.0,8279.84,469.64,UPI
ORD10042,2025-05-11,CUST1037,Customer 1037,North,Delhi,New Delhi,Furniture,Chairs,Ergo Chair,2,9042.09,0.05,17179.97,3591.92,UPI
ORD10043,2025-11-03,CUST1038,Customer 1038,West,Goa,Panaji,Electronics,Accessories,Wireless Mouse,1,1276.08,0.1,1148.47,30.48,
ORD10044,2025-05-15,CUST1096,Customer 1096,West,Maharashtra,Kolhapur,Electronics,Headphones,SoundMax Pro,3,4633.71,0.1,12511.03,250.22,UPI
ORD10045,2025-01-21,CUST1139,Customer 1139,South,Tamil Nadu,Coimbatore,Furniture,Chairs,Ergo Chair,7,8988.21,0.0,62917.49,10455.41,Net Banking
ORD10046,2025-11-25,CUST1001,Customer 1001,West,Goa,Margao,Appliances,Home,Air Purifier,2,14480.16,0.05,27512.3,5658.55,Credit Card
ORD10047,2025-06-16,CUST1153,Customer 1153,North,Punjab,Amritsar,Office Supplies,Stationery,Gel Pen Pack,1,190.51,0.0,190.51,57.89,Credit Card
ORD10048,2025-10-01,CUST1042,Customer 1042,West,Gujarat,Ahmedabad,Office Supplies,Stationery,Premium Notebook,2,339.95,0.0,679.91,136.51,Net Banking
ORD10049,2025-03-30,CUST1180,Customer 1180,West,Goa,Margao,Office Supplies,Stationery,Premium Notebook,3,331.99,0.05,946.16,234.73,Credit Card
ORD10050,2025-11-12,CUST1152,Customer 1152,West,Maharashtra,Kolhapur,Office Supplies,Stationery,Premium Notebook,1,335.4,0.1,301.86,9.1,Credit Card
ORD10051,2025-01-14,CUST1181,Customer 1181,North,Uttar Pradesh,Kanpur,Appliances,Kitchen,Mixer Grinder,4,4144.87,0.0,16579.5,5159.24,Cash
ORD10052,2025-08-30,CUST1235,Customer 1235,South,Tamil Nadu,Coimbatore,Office Supplies,Stationery,Premium Notebook,8,336.07,0.05,2554.11,51.08,Credit Card
ORD10053,2025-09-22,CUST1184,Customer 1184,South,Tamil Nadu,Chennai,Furniture,Storage,Filing Cabinet,3,6604.78,0.05,18823.62,1924.36,UPI
ORD10054,2025-12-12,CUST1063,Customer 1063,East,Jharkhand,Jamshedpur,Office Supplies,Stationery,Premium Notebook,2,329.56,0.2,527.29,57.6,Debit Card
ORD10055,2025-02-22,CUST1081,Customer 1081,North,Delhi,Delhi,Office Supplies,Binders,Document Binder,2,251.52,0.2,402.43,8.05,Cash
ORD10056,2025-12-06,CUST1008,Customer 1008,West,Maharashtra,Mumbai,Appliances,Home,Air Purifier,1,15679.26,0.15,13327.37,367.92,Cash
ORD10057,2025-04-02,CUST1187,Customer 1187,West,Gujarat,Ahmedabad,Office Supplies,Stationery,Premium Notebook,6,346.74,0.0,2080.46,174.73,Net Banking
ORD10058,2025-09-21,CUST1173,Customer 1173,South,Tamil Nadu,Coimbatore,Appliances,Kitchen,Electric Kettle,2,1755.86,0.0,3511.71,485.62,Cash
ORD10059,2025-02-04,CUST1027,Customer 1027,West,Maharashtra,Mumbai,Appliances,Home,Air Purifier,2,16111.2,0.05,30611.28,7255.2,Debit Card
ORD10060,2025-07-25,CUST1052,Customer 1052,West,Goa,Margao,Office Supplies,Stationery,Premium Notebook,4,372.04,0.0,1488.15,239.86,Cash
ORD10061,2025-03-22,CUST1146,Customer 1146,West,Gujarat,Vadodara,Appliances,Kitchen,Mixer Grinder,3,4372.56,0.05,12461.8,1309.56,UPI
ORD10062,2025-02-19,CUST1091,Customer 1091,West,Maharashtra,Kolhapur,Office Supplies,Paper,A4 Paper Box,4,506.02,0.1,1821.68,36.43,Credit Card
ORD10063,2025-12-26,CUST1086,Customer 1086,West,Gujarat,Surat,Furniture,Storage,Filing Cabinet,1,7065.95,0.15,6006.06,751.8,Debit Card
ORD10064,2025-01-02,CUST1016,Customer 1016,North,Uttar Pradesh,Kanpur,Appliances,Kitchen,Mixer Grinder,5,3966.13,0.15,16856.06,2491.34,Credit Card
ORD10065,2025-02-23,CUST1066,Customer 1066,East,West Bengal,Kolkata,Electronics,Laptops,AeroBook 14,7,58332.75,0.05,387912.82,7758.26,UPI
ORD10066,2025-04-16,CUST1005,Customer 1005,South,Tamil Nadu,Chennai,Electronics,Accessories,Wireless Mouse,4,1170.36,0.1,4213.3,464.78,UPI
ORD10067,2025-09-17,CUST1082,Customer 1082,South,Telangana,Warangal,Appliances,Kitchen,Electric Kettle,7,1888.62,0.05,12559.31,1896.59,UPI
ORD10068,2025-11-06,CUST1131,Customer 1131,East,Odisha,Cuttack,Appliances,Kitchen,Electric Kettle,1,1726.95,0.0,1726.95,392.92,Credit Card
ORD10069,2025-07-10,CUST1219,Customer 1219,West,Goa,Panaji,Electronics,Accessories,Wireless Mouse,3,1116.14,0.1,3013.59,193.67,Cash
ORD10070,2025-08-06,CUST1118,Customer 1118,East,Jharkhand,Ranchi,Furniture,Chairs,Ergo Chair,3,7999.12,0.0,23997.37,2369.14,Net Banking
ORD10071,2025-02-13,CUST1081,Customer 1081,North,Delhi,New Delhi,Office Supplies,Paper,A4 Paper Box,3,549.85,0.05,1567.07,165.4,Debit Card
ORD10072,2025-06-11,CUST1208,Customer 1208,West,Goa,Panaji,Furniture,Tables,Office Table,2,12767.57,0.05,24258.38,5516.61,Cash
ORD10073,2025-07-21,CUST1070,Customer 1070,North,Punjab,Amritsar,Electronics,Accessories,Wireless Mouse,2,1152.61,0.1,2074.71,390.19,Credit Card
ORD10074,2025-09-27,CUST1115,Customer 1115,East,Jharkhand,Ranchi,Electronics,Mobiles,Nova X5,1,28247.73,0.1,25422.95,2885.65,Credit Card
ORD10075,2025-12-17,CUST1007,Customer 1007,North,Uttar Pradesh,Noida,Furniture,Tables,Office Table,2,12555.16,0.05,23854.8,4982.9,Credit Card
ORD10076,2025-10-31,CUST1050,Customer 1050,East,West Bengal,Durgapur,Office Supplies,Stationery,Premium Notebook,1,358.7,0.15,304.9,6.1,
ORD10077,2025-09-28,CUST1142,Customer 1142,West,Goa,Panaji,Office Supplies,Stationery,Premium Notebook,4,335.06,0.05,1273.22,245.62,UPI
ORD10078,2025-08-03,CUST1166,Customer 1166,South,Telangana,Hyderabad,Furniture,Storage,Filing Cabinet,2,7196.47,0.05,13673.29,809.27,Credit Card
ORD10079,2025-09-09,CUST1232,Customer 1232,North,Punjab,Ludhiana,Furniture,Tables,Office Table,1,12118.74,0.1,10906.86,2603.38,Debit Card
ORD10080,2025-07-09,CUST1207,Customer 1207,West,Maharashtra,Pune,Electronics,Mobiles,Nova X5,3,28869.71,0.1,77948.22,3157.13,Credit Card
ORD10081,2025-10-23,CUST1111,Customer 1111,South,Karnataka,Bengaluru,Furniture,Storage,Filing Cabinet,3,6273.54,0.2,15056.5,301.13,Net Banking
ORD10082,2025-08-01,CUST1047,Customer 1047,East,West Bengal,Durgapur,Office Supplies,Binders,Document Binder,6,254.7,0.0,1528.22,304.68,Debit Card
ORD10083,2025-07-27,CUST1112,Customer 1112,South,Telangana,,Appliances,Kitchen,Mixer Grinder,3,4100.35,0.1,11070.94,1783.83,UPI
ORD10084,2025-08-25,CUST1161,Customer 1161,South,Karnataka,Mysuru,Appliances,Home,Air Purifier,2,15607.84,0.1,28094.11,2353.07,Credit Card
ORD10085,2025-12-04,CUST1043,Customer 1043,East,Jharkhand,Jamshedpur,Appliances,Home,Air Purifier,5,14440.39,0.15,61371.64,7272.43,Debit Card
ORD10086,2025-02-22,CUST1091,Customer 1091,West,Goa,Panaji,Furniture,Chairs,Ergo Chair,3,8894.58,0.0,26683.74,5194.7,UPI
ORD10087,2025-10-07,CUST1029,Customer 1029,West,Gujarat,Surat,Furniture,Tables,Office Table,1,11935.56,0.1,10742.01,1530.93,UPI
ORD10088,2025-08-05,CUST1128,Customer 1128,East,Odisha,Bhubaneswar,Office Supplies,Paper,A4 Paper Box,3,534.73,0.1,1443.77,125.15,Credit Card
ORD10089,2025-09-09,CUST1185,Customer 1185,North,Punjab,Amritsar,Office Supplies,Stationery,Premium Notebook,6,366.98,0.0,2201.88,430.17,Net Banking
ORD10090,2025-07-07,CUST1229,Customer 1229,West,Gujarat,Vadodara,Appliances,Home,Air Purifier,2,15653.45,0.05,29741.56,7017.4,Credit Card
ORD10091,2025-02-10,CUST1133,Customer 1133,West,Gujarat,Ahmedabad,Office Supplies,Stationery,Premium Notebook,2,363.49,0.05,690.63,35.72,Net Banking
ORD10092,2025-06-06,CUST1221,Customer 1221,South,Telangana,Warangal,Electronics,Headphones,SoundMax Pro,1,4616.54,0.1,4154.89,233.49,Cash
ORD10093,2025-01-15,CUST1096,Customer 1096,South,Telangana,Warangal,Appliances,Kitchen,Mixer Grinder,1,4102.92,0.15,3487.48,329.25,UPI
ORD10094,2025-10-28,CUST1188,Customer 1188,East,West Bengal,Kolkata,Appliances,Kitchen,Mixer Grinder,3,4407.55,0.1,11900.39,488.68,Debit Card
ORD10095,2025-03-06,CUST1117,Customer 1117,West,Goa,Panaji,Appliances,Home,Air Purifier,3,14990.86,0.1,40475.32,809.51,Credit Card
ORD10096,2025-12-11,CUST1070,Customer 1070,West,Goa,Panaji,Furniture,Storage,Filing Cabinet,1,6877.48,0.05,6533.61,1398.31,UPI
ORD10097,2025-11-23,CUST1130,Customer 1130,West,Gujarat,Vadodara,Electronics,Laptops,AeroBook 14,7,64434.35,0.0,451040.42,9020.81,Debit Card
ORD10098,2025-01-09,CUST1070,Customer 1070,South,Telangana,Warangal,Electronics,Laptops,AeroBook 14,4,60799.24,0.0,243196.97,32061.44,Debit Card
ORD10099,2025-12-10,CUST1110,Customer 1110,West,Gujarat,Ahmedabad,Furniture,Storage,Filing Cabinet,3,6585.41,0.05,18768.42,3577.75,UPI
ORD10100,2025-05-09,CUST1171,Customer 1171,North,Delhi,Delhi,Office Supplies,Paper,A4 Paper Box,5,516.62,0.05,2453.93,383.23,Net Banking
ORD10101,2025-05-16,CUST1132,Customer 1132,West,Maharashtra,Mumbai,Office Supplies,Stationery,Gel Pen Pack,1,189.16,0.0,189.16,25.14,Debit Card
ORD10102,2025-03-04,CUST1056,Customer 1056,North,Uttar Pradesh,Lucknow,Furniture,Storage,Filing Cabinet,3,7267.75,0.05,20713.1,1256.86,Net Banking
ORD10103,2025-05-19,CUST1221,Customer 1221,North,Delhi,New Delhi,Office Supplies,Paper,A4 Paper Box,4,523.75,0.05,1990.25,321.57,UPI
ORD10104,2025-03-22,CUST1187,Customer 1187,South,Telangana,Hyderabad,Furniture,Chairs,Ergo Chair,5,8719.59,0.0,43597.97,3959.24,Net Banking
ORD10105,2025-06-12,CUST1089,Customer 1089,West,Maharashtra,Pune,Office Supplies,Stationery,Premium Notebook,5,372.58,0.05,1769.77,276.29,Credit Card
ORD10106,2025-10-16,CUST1137,Customer 1137,West,Gujarat,Surat,Electronics,Mobiles,Nova X5,2,26201.49,0.0,52402.98,8901.39,UPI
ORD10107,2025-09-18,CUST1248,Customer 1248,West,Gujarat,Ahmedabad,Office Supplies,Stationery,Gel Pen Pack,7,172.28,0.15,1025.09,105.66,Debit Card
ORD10108,2025-08-19,CUST1131,Customer 1131,South,Tamil Nadu,Chennai,Furniture,Tables,Office Table,1,12917.8,0.15,10980.13,523.51,Debit Card
ORD10109,2025-02-10,CUST1218,Customer 1218,South,Tamil Nadu,Coimbatore,Appliances,Kitchen,Electric Kettle,6,1893.24,0.1,10223.49,2632.04,Credit Card
ORD10110,2025-01-28,CUST1176,Customer 1176,North,Uttar Pradesh,Noida,Office Supplies,Stationery,Gel Pen Pack,8,190.28,0.0,1522.26,281.73,Credit Card
ORD10111,2025-05-15,CUST1171,Customer 1171,North,Delhi,New Delhi,Electronics,Mobiles,Nova X5,1,27619.68,0.1,24857.71,2373.67,UPI
ORD10112,2025-07-20,CUST1219,Customer 1219,North,Uttar Pradesh,Kanpur,Electronics,Headphones,SoundMax Pro,4,4204.32,0.15,14294.7,1586.7,Debit Card
ORD10113,2025-11-24,CUST1100,Customer 1100,West,Gujarat,Ahmedabad,Appliances,Kitchen,Mixer Grinder,1,4158.19,0.1,3742.37,227.49,Credit Card
ORD10114,2025-09-25,CUST1224,Customer 1224,South,Telangana,Hyderabad,Office Supplies,Stationery,Premium Notebook,2,334.92,0.0,669.84,89.06,Credit Card
ORD10115,2025-02-02,CUST1129,Customer 1129,East,West Bengal,Durgapur,Electronics,Laptops,AeroBook 14,3,59928.67,0.1,161807.41,45699.98,Credit Card
ORD10116,2025-02-17,CUST1057,Customer 1057,East,Jharkhand,Ranchi,Office Supplies,Paper,A4 Paper Box,3,542.65,0.15,1383.76,53.67,Net Banking
ORD10117,2025-03-03,CUST1181,Customer 1181,East,West Bengal,Durgapur,Furniture,Storage,Filing Cabinet,7,6338.17,0.1,39930.49,4374.62,Debit Card
ORD10118,2025-08-04,CUST1246,Customer 1246,West,Goa,Panaji,Furniture,Storage,Filing Cabinet,4,7156.41,0.1,25763.07,2140.21,Debit Card
ORD10119,2025-10-20,CUST1144,Customer 1144,West,Maharashtra,Pune,Appliances,Kitchen,Electric Kettle,3,1779.17,0.05,5070.63,328.2,Net Banking
ORD10120,2025-04-09,CUST1051,Customer 1051,North,Delhi,New Delhi,Electronics,Laptops,AeroBook 14,5,62952.95,0.05,299026.53,49930.24,Credit Card
ORD10121,2025-06-21,CUST1112,Customer 1112,West,Gujarat,Surat,Office Supplies,Stationery,Gel Pen Pack,7,168.18,0.0,1177.27,191.37,UPI
ORD10122,2025-12-26,CUST1203,Customer 1203,North,Delhi,New Delhi,Office Supplies,Stationery,Premium Notebook,1,340.89,0.1,306.8,54.85,UPI
ORD10123,2025-08-02,CUST1218,Customer 1218,West,Gujarat,Vadodara,Electronics,Accessories,Wireless Mouse,8,1121.22,0.0,8969.78,1944.11,Debit Card
ORD10124,2025-02-04,CUST1104,Customer 1104,East,Odisha,Cuttack,Office Supplies,Paper,A4 Paper Box,1,558.4,0.05,530.48,106.39,UPI
ORD10125,2025-08-15,CUST1127,Customer 1127,West,Gujarat,Vadodara,Office Supplies,Binders,Document Binder,5,272.78,0.05,1295.71,94.88,Credit Card
ORD10126,2025-04-11,CUST1055,Customer 1055,East,Jharkhand,Ranchi,Furniture,Chairs,Ergo Chair,2,8445.1,0.1,15201.18,2430.17,UPI
ORD10127,2025-05-11,CUST1001,Customer 1001,North,Uttar Pradesh,Lucknow,Electronics,Mobiles,Nova X5,1,26761.74,0.0,26761.74,5528.15,UPI
ORD10128,2025-09-14,CUST1090,Customer 1090,West,Goa,Panaji,Appliances,Kitchen,Electric Kettle,3,1924.84,0.1,5197.05,226.2,Credit Card
ORD10129,2025-01-05,CUST1156,Customer 1156,North,Uttar Pradesh,Noida,Office Supplies,Stationery,Gel Pen Pack,4,175.52,0.15,596.78,41.89,Net Banking
ORD10130,2025-08-06,CUST1053,Customer 1053,East,West Bengal,Durgapur,Appliances,Kitchen,Mixer Grinder,2,3972.18,0.0,7944.36,461.35,Debit Card
ORD10131,2025-09-12,CUST1186,Customer 1186,North,Delhi,Delhi,Appliances,Kitchen,Mixer Grinder,1,4242.45,0.0,4242.45,877.65,Net Banking
ORD10132,2025-12-25,CUST1073,Customer 1073,South,Telangana,Warangal,Furniture,Tables,Office Table,3,13387.55,0.0,40162.64,8295.66,Net Banking
ORD10133,2025-10-10,CUST1188,Customer 1188,North,Delhi,Delhi,Electronics,Headphones,SoundMax Pro,6,4142.76,0.15,21128.06,4069.8,UPI
ORD10134,2025-07-26,CUST1187,Customer 1187,West,Maharashtra,Mumbai,Appliances,Kitchen,Mixer Grinder,2,4024.02,0.05,7645.64,928.82,UPI
ORD10135,2025-01-15,CUST1108,Customer 1108,West,Gujarat,Ahmedabad,Furniture,Storage,Filing Cabinet,2,7277.03,0.05,13826.36,2338.08,Debit Card
ORD10136,2025-12-12,CUST1150,Customer 1150,West,Gujarat,Vadodara,Office Supplies,Stationery,Gel Pen Pack,3,170.53,0.0,511.58,117.22,Net Banking
ORD10137,2025-02-11,CUST1008,Customer 1008,North,Punjab,Amritsar,Electronics,Headphones,SoundMax Pro,1,4221.54,0.1,3799.38,236.43,Credit Card
ORD10138,2025-06-28,CUST1250,Customer 1250,West,Gujarat,Surat,Electronics,Mobiles,Nova X5,5,28314.44,0.15,120336.36,3499.68,Net Banking
ORD10139,2025-03-04,CUST1177,Customer 1177,East,West Bengal,Kolkata,Furniture,Storage,Filing Cabinet,5,7193.69,0.15,30573.17,1280.96,UPI
ORD10140,2025-12-18,CUST1042,Customer 1042,North,Uttar Pradesh,Kanpur,Furniture,Storage,Filing Cabinet,3,6775.1,0.1,18292.76,1656.4,UPI
ORD10141,2025-08-19,CUST1155,Customer 1155,East,West Bengal,Durgapur,Electronics,Accessories,Wireless Mouse,2,1294.96,0.0,2589.91,256.56,Debit Card
ORD10142,2025-08-29,CUST1167,Customer 1167,South,Karnataka,Bengaluru,Office Supplies,Binders,Document Binder,5,267.45,0.0,1337.27,150.33,Credit Card
ORD10143,2025-02-21,CUST1211,Customer 1211,West,Maharashtra,Kolhapur,Office Supplies,Stationery,Gel Pen Pack,3,167.73,0.0,503.2,111.54,UPI
ORD10144,2025-04-06,CUST1025,Customer 1025,West,Gujarat,Surat,Appliances,Home,Air Purifier,5,16722.22,0.0,83611.12,12813.88,Credit Card
ORD10145,2025-08-10,CUST1038,Customer 1038,North,Punjab,Ludhiana,Office Supplies,Stationery,Premium Notebook,4,344.84,0.0,1379.37,250.31,UPI
ORD10146,2025-08-19,CUST1085,Customer 1085,East,Odisha,Bhubaneswar,Appliances,Kitchen,Electric Kettle,5,1738.77,0.0,8693.86,1055.87,Debit Card
ORD10147,2025-08-25,CUST1152,Customer 1152,North,Uttar Pradesh,Kanpur,Appliances,Kitchen,Electric Kettle,3,1816.67,0.05,5177.51,488.52,Net Banking
ORD10148,2025-05-23,CUST1024,Customer 1024,East,West Bengal,Kolkata,Electronics,Laptops,AeroBook 14,2,60058.73,0.15,102099.84,11485.1,Net Banking
ORD10149,2025-06-20,CUST1060,Customer 1060,West,Goa,Margao,Electronics,Laptops,AeroBook 14,7,57897.66,0.1,364755.25,45165.59,Debit Card
ORD10150,2025-01-29,CUST1211,Customer 1211,South,Tamil Nadu,Chennai,Furniture,Chairs,Ergo Chair,3,7821.94,0.15,19945.95,2931.24,Credit Card
ORD10151,2025-02-05,CUST1178,Customer 1178,South,Telangana,Warangal,Furniture,Tables,Office Table,3,12399.17,0.1,33477.75,6900.15,Credit Card
ORD10152,2025-01-13,CUST1111,Customer 1111,North,Delhi,New Delhi,Electronics,Headphones,SoundMax Pro,2,4742.54,0.0,9485.08,1058.55,UPI
ORD10153,2025-06-09,CUST1066,Customer 1066,West,Maharashtra,Kolhapur,Appliances,Kitchen,Electric Kettle,4,1820.83,0.1,6554.98,1148.98,UPI
ORD10154,2025-11-23,CUST1142,Customer 1142,North,Punjab,Amritsar,Office Supplies,Stationery,Gel Pen Pack,3,194.38,0.0,583.13,49.22,UPI
ORD10155,2025-07-06,CUST1053,Customer 1053,East,Odisha,Bhubaneswar,Appliances,Kitchen,Mixer Grinder,2,4056.76,0.1,7302.17,1899.77,Cash
ORD10156,2025-08-31,CUST1160,Customer 1160,West,Goa,Margao,Office Supplies,Paper,A4 Paper Box,1,501.73,0.05,476.65,39.3,Net Banking
ORD10157,2025-03-27,CUST1106,Customer 1106,South,Tamil Nadu,Coimbatore,Appliances,Home,Air Purifier,3,14656.18,0.2,35174.83,4162.73,Credit Card
ORD10158,2025-10-11,CUST1096,Customer 1096,West,Gujarat,Vadodara,Furniture,Tables,Office Table,5,11828.13,0.0,59140.64,4961.5,Debit Card
ORD10159,2025-03-07,CUST1220,Customer 1220,South,Karnataka,Mysuru,Electronics,Accessories,Wireless Mouse,3,1158.76,0.0,3476.27,519.19,UPI
ORD10160,2025-06-19,CUST1176,Customer 1176,East,Odisha,Bhubaneswar,Appliances,Kitchen,Mixer Grinder,2,4396.79,0.15,7474.54,1500.15,Debit Card
ORD10161,2025-02-14,CUST1039,Customer 1039,West,Gujarat,Surat,Furniture,Storage,Filing Cabinet,4,7241.46,0.0,28965.85,2976.55,Debit Card
ORD10162,2025-03-03,CUST1168,Customer 1168,East,West Bengal,Kolkata,Office Supplies,Stationery,Premium Notebook,1,376.6,0.1,338.94,91.28,Credit Card
ORD10163,2025-05-14,CUST1042,Customer 1042,South,Karnataka,Bengaluru,Office Supplies,Stationery,Gel Pen Pack,3,172.29,0.1,465.18,53.32,UPI
ORD10164,2025-10-11,CUST1111,Customer 1111,North,Uttar Pradesh,Noida,Appliances,Kitchen,Electric Kettle,1,1909.81,0.15,1623.34,261.03,Net Banking
ORD10165,2025-01-28,CUST1104,Customer 1104,South,Tamil Nadu,Coimbatore,Office Supplies,Binders,Document Binder,2,252.86,0.2,404.57,39.73,Debit Card
